report,gold_idx,out_idx,choice_p,any_p,choice_confidence,level,gold_pot,out_pot,gold_typ,out_typ,gold_quote,out_quote
old_rep_2,6,,,0.250,0.470,missing,Pottery,,,,Verder waren er scherven uit het midden van dezelfde eerste eeuw na Christus.,
old_rep_3,0,0,1.000,0.960,1.000,same,Terra sigillata ,Terra sigillata bowl,,,"Het dateert uit het midden van de 4e eeuw en leverde, behalve botresten en een kom van met radstempels versierde terra s",kom van met radstempels versierde terra sigillata
old_rep_3,1,1,1.000,0.960,1.000,same,Handmade pottery,Handmade pottery,,,een kom van handgemaakt aardewerk waarvoor rechtstreekse parallellen alleen in noord-Nederland te vinden zijn. Zij zijn ,kom van handgemaakt aardewerk
old_rep_3,2,,,0.950,1.000,missing,Terra sigillata ,,,,"aardewerk, de terra sigillata met radstempelversiering. Daarbij zijn er maar twee die in de vroege 4e eeuw gemaakt zijn",
old_rep_3,3,,,0.760,0.870,missing,Terra sigillata ,,Hübener Group 3,,"de rest is dateerbaar vanaf het midden van de 4e eeuw (Hubener 1968, groepen 3-6).",
old_rep_3,4,,,0.270,0.750,missing,Pottery,,,,scherven uit de IJzertijd,
old_rep_4,1,2,1.000,0.970,1.000,same,Terra sigillata cup,Terra sigillata cup,Dragendorff 33,Dragendorff 33,Dragendorff 33,"terra sigillata van de typen Dragendorff 18/ 31, 33, 37"
old_rep_4,2,3,1.000,0.970,1.000,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,Dragendorff 37,"terra sigillata van de typen Dragendorff 18/ 31, 33, 37"
old_rep_4,6,7,1.000,0.980,0.990,same,Terra rubra,Terra rubra,,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm",terra rubra
old_rep_4,11,13,1.000,0.970,0.990,same,Lid,Lid,,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm",dekselfragmenten
old_rep_4,4,5,0.990,0.950,0.980,same,Colour-coated ware without barbotine decoration,Glossy pottery without barbotine decoration,,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm",gevernist aardewerk met en zonder barbotineversiering
old_rep_4,5,6,0.990,0.980,0.980,same,Terra nigra,Terra nigra,,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm",terra nigra
old_rep_4,12,9,0.990,0.950,0.980,same,Coarse ware,Coarse pottery,,,ruwwandige,ruwwandig
old_rep_4,7,8,0.970,0.950,0.960,same,Smooth-walled ware,Smooth-walled pottery,,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm",gladwandig
old_rep_4,3,4,0.960,0.870,0.950,same,Colour-coated ware with barbotine decoration,Glossy pottery with barbotine decoration,,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm",gevernist aardewerk met en zonder barbotineversiering
old_rep_4,9,11,0.960,0.920,0.950,same,Mortarium with pouring spout,Mortarium with pouring spout,,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm",wrijfschaalfragmenten met en zonder uitschenkrand
old_rep_4,10,12,0.960,0.970,0.950,same,Mortarium without pouring spout,Mortarium without pouring spout,,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm",wrijfschaalfragmenten met en zonder uitschenkrand
old_rep_4,0,0,0.750,0.880,0.720,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 18/31,Dragendorff 18,Dragendorff 18,"terra sigillata van de typen Dragendorff 18/ 31, 33, 37"
old_rep_4,8,,,0.850,0.740,missing,Coarse ware,,,,"gevernist aardewerk met en zonder barbotineversiering, terra nigra, terra rubra, gladwandig, ruwwandig, wrijfschaalfragm",
old_rep_4,13,,,0.900,0.630,missing,Terra sigillata,,,,terra sigillatascherven verspreid,
old_rep_4,,1,,,,overclaim,,Terra sigillata plate,,Dragendorff 31,,"terra sigillata van de typen Dragendorff 18/ 31, 33, 37"
old_rep_4,,10,,,,overclaim,,Mortarium,,,,wrijfschaalfragmenten met en zonder uitschenkrand
old_rep_5,4,4,1.000,0.970,0.990,same,Urn,Urn,,,"kommetjes, bekertjes, kruikjes, urntjes en andere voorwerpen voor den dag","schaaltjes, kommetjes, bekertjes, kruikjes, urntjes"
old_rep_5,0,0,0.990,0.940,0.980,same,Dish,Dish,,,"De voorwerpen, welke uit de tweede eeuw na Christus schijnen te dagteekenen,","schaaltjes, kommetjes, bekertjes, kruikjes, urntjes"
old_rep_5,2,2,0.990,0.940,0.980,same,Beaker,Beaker,,,"De voorwerpen, welke uit de tweede eeuw na Christus schijnen te dagteekenen,","schaaltjes, kommetjes, bekertjes, kruikjes, urntjes"
old_rep_5,1,1,0.980,0.920,0.970,same,Bowl,Bowl,,,"De voorwerpen, welke uit de tweede eeuw na Christus schijnen te dagteekenen,","schaaltjes, kommetjes, bekertjes, kruikjes, urntjes"
old_rep_5,3,3,0.960,0.920,0.950,same,Jug,Jug,,,"De voorwerpen, welke uit de tweede eeuw na Christus schijnen te dagteekenen,","schaaltjes, kommetjes, bekertjes, kruikjes, urntjes"
table_1,0,0,1.000,0.990,1.000,same,amphora,amphora,Mayen R19,Mayen R19,amphora,amphora
table_1,1,1,1.000,0.980,0.990,same,Late Roman bowl,Late Roman bowl,Alzey 28,Alzey 28,bowl,bowl
table_1,2,2,1.000,0.980,0.970,same,Late Roman storage vessel,Late Roman storage vessel,Alzey 29,Alzey 29,bowl,bowl
table_1,3,3,1.000,0.990,1.000,same,Coarse ware bowl,Coarse ware bowl,Niederbieber 104,Niederbieber 104,bowl,bowl
table_1,4,4,1.000,0.990,0.950,same,Trier bowl,Trier bowl,"Trier III, 40a","Trier III, 40a",bowl,bowl
table_1,8,8,1.000,0.990,0.970,same,Late Roman cooking pot,Late Roman cooking pot,Alzey 27,Alzey 27,jar,jar
table_1,10,10,1.000,0.980,0.860,same,Late Roman storage jar,Late Roman storage jar,Alzey 30,Alzey 30,jug,jug
table_1,12,12,1.000,0.990,1.000,same,Late Roman lid,Late Roman lid,Alzey 34,Alzey 34,plate,plate
table_1,14,25,1.000,0.980,0.990,same,Late Roman bowl,Late Roman bowl,Alzey 28,Alzey 28,bowl,bowl
table_1,16,16,1.000,0.990,0.970,same,Late Roman cooking pot,Late Roman cooking pot,Alzey 27,Alzey 27,jar,jar
table_1,19,19,1.000,0.990,0.970,same,Late Roman storage vessel,Late Roman storage vessel,Alzey 29,Alzey 29,plate,plate
table_1,22,22,1.000,0.990,1.000,same,Late Roman storage jar,Late Roman storage jar,Alzey 30,Alzey 30,jar,jar
table_1,26,26,1.000,0.990,1.000,same,Cheese strainer,Cheese strainer,FG1a,FG1a,cheese strainer,cheese strainer
table_1,28,38,1.000,0.990,0.970,same,Late Roman cooking pot,Late Roman cooking pot,Alzey 27,Alzey 27,jar,jar
table_1,29,29,1.000,0.990,1.000,same,Coarse ware cooking pot,Coarse ware cooking pot,Niederbieber 89,Niederbieber 89,jar,jar
table_1,30,30,1.000,0.980,0.860,same,Late Roman storage jar,Late Roman storage jar,Alzey 30,Alzey 30,jug,jug
table_1,31,31,1.000,0.990,0.970,same,Late Roman storage vessel,Late Roman storage vessel,Alzey 29,Alzey 29,plate,plate
table_1,32,32,1.000,0.990,0.950,same,Trier bowl,Trier bowl,"Trier III, 40a","Trier III, 40a",bowl,bowl
table_1,34,34,1.000,0.980,0.970,same,Late Roman storage vessel,Late Roman storage vessel,Alzey 29,Alzey 29,bowl,bowl
table_1,38,28,1.000,0.990,0.970,same,Late Roman cooking pot,Late Roman cooking pot,Alzey 27,Alzey 27,jar,jar
table_1,20,20,0.990,0.930,0.770,same,Coarse ware bowl,Coarse ware bowl,Niederbieber 104 cf.,Niederbieber 104 cf.,bowl,bowl
table_1,25,14,0.990,0.910,0.770,same,Late Roman bowl,Late Roman bowl,Alzey 28 cf.,Alzey 28 cf.,bowl,bowl
table_1,37,37,0.980,0.960,0.970,same,Late Roman dish,Late Roman dish,Alzey 33 cf,Alzey 33 cf.,jar,jar
table_1,6,6,0.960,0.880,0.950,same,Bowl/Jar,Dolium,,pro…led shoulder,dolium,dolium
table_1,24,9,0.950,0.940,0.890,same,Jug,Jug,,,plate,jug
table_1,21,7,0.890,0.980,0.880,same,Jar,Jar,,,jar,jar
table_1,23,21,0.890,0.980,0.880,same,Jar,Jar,,,jar,jar
table_1,11,23,0.850,0.940,0.840,same,Jar,Jar,,,plate,jar
table_1,18,27,0.850,0.940,0.840,same,Jar,Jar,,,plate,jar
table_1,5,5,0.830,0.940,0.790,same,Bowl,Bowl/Jar,,,bowl/jar,bowl/jar
table_1,13,33,0.760,0.930,0.730,same,Jar,Jar,,,bowl,jar
table_1,27,17,0.760,0.930,0.690,same,Jug,Jug,,,jar,jug
table_1,15,15,0.680,0.960,0.600,same,Jar,Bowl/Jar,,,bowl/jar,bowl/jar
table_1,7,35,0.640,0.930,0.600,same,Bowl/Jar,Jar,,,jar,jar
table_1,33,11,0.610,0.870,0.550,same,Plate,Plate,,,jar,plate
table_1,35,24,0.610,0.870,0.550,same,Plate,Plate,,,jar,plate
table_1,36,18,0.610,0.870,0.550,same,Plate,Plate,,,jar,plate
table_1,17,36,0.610,0.940,0.590,same,Jar,Jar,,,jug,jar
table_1,9,,,0.970,0.950,missing,Dolium,,,,jug,
table_1,,13,,,,overclaim,,Bowl,,,,bowl
table_2,0,1,1.000,0.980,0.990,same,Pottery,Pottery,,,Romeinse tijd: aardewerk.,Romeinse tijd: aardewerk.
table_2,6,2,1.000,0.980,0.990,same,Terra sigillata,Terra sigillata,,,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)","Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar), bouwmateriaal vermoedelijk een Romeinse villa,"
table_2,8,4,1.000,0.960,0.990,same,Cooking pot,Cooking pot,,,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)","Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar), bouwmateriaal vermoedelijk een Romeinse villa,"
table_2,10,7,1.000,0.970,0.990,same,Pottery,Pottery,,,"Romeinse tijd: aardewerk, bouwmateriaal.","Romeinse tijd: aardewerk, bouwmateriaal."
table_2,7,3,0.990,0.950,0.980,same,Dolium,Dolia,,,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)","Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar), bouwmateriaal vermoedelijk een Romeinse villa,"
table_2,9,5,0.990,0.970,0.990,same,Flagon ware,Flagon ware,,,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)","Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar), bouwmateriaal vermoedelijk een Romeinse villa,"
table_2,12,0,0.990,0.930,0.990,same,Handmade ware pot,Handmade pottery,,,een aantal bodem- en wandscherven van een pot in handgemaakt aardewerk,"Late ijzertijd: grafkuil met pakket zwarte houtskoolrijke aarde, stippels verbrand been, fragmenten verroest ijzer en ee"
table_2,1,6,0.940,0.910,0.900,different,Pottery,Pottery,,,"Rond het gebouw werden enkele paalgaten en kuilen teruggevonden, met in de kuilen aardewerk en bouwmateriaal.","Romeinse tijd: bouwmateriaal, vermoedelijk een Romeinse villa."
table_2,2,,,0.260,0.600,missing,Pottery,,,,"Romeinse tijd: vermoedelijk een Romeinse villa, concentratie bouwpuin,aardewerk.",
table_2,3,,,0.250,0.490,missing,Pottery,,,,"Romeinse tijd: vermoedelijk een Romeinse villa, concentratie bouwpuin, aardewerk",
table_2,4,,,0.260,0.570,missing,Pottery,,,,"Romeinse tijd: vermoedelijk Romeinse villa, concentratie dakpanfragmenten,
aardewerk.",
table_2,5,,,0.260,0.480,missing,Pottery,,,,"Romeinse tijd: vermoedelijk een Romeinse villa, concentratie bouwpuin, aardewerk",
table_2,11,,,0.190,0.660,missing,Pottery,,,,"Late ijzertijd: kuil met brokken verbrande leem, houtskoolfragmenten en organische resten, 250-tal scherven uit bewoning",
table_3,0,0,1.000,0.990,1.000,same,Arretina,Arretina,,,Arretina,Arretina
table_3,1,1,1.000,0.990,1.000,same,Fine ware,Fine ware,,,Fine ware,Fine ware
table_3,2,2,1.000,0.990,1.000,same,Gallo-Belgic ware,Gallo-Belgic ware,,,Gallo-Belgic ware,Gallo-Belgic ware
table_3,3,3,1.000,0.990,0.990,same,Pompeian red ware,Pompeian red ware,,,Pompeian red ware,Pompeian red ware
table_3,4,4,1.000,0.990,1.000,same,Smooth ware,Smooth ware,,,Smooth ware,Smooth ware
table_3,5,5,1.000,0.920,0.990,same,Amphora,Amphorae,,,Amphorae,Amphorae
table_3,7,7,1.000,0.960,1.000,same,Mortarium,Mortaria,,,Mortaria,Mortaria
table_3,8,8,1.000,0.990,1.000,same,Coarse ware,Coarse ware,,,Coarse ware,Coarse ware
table_3,9,9,1.000,0.990,1.000,same,Cork ware,Cork ware,,,Cork ware,Cork ware
table_3,10,10,1.000,0.990,1.000,same,Handmade pottery,Handmade pottery,,,Handmade pottery,Handmade pottery
table_3,6,6,0.980,0.650,0.970,same,Dolium,Dolia,,,Dolia,Dolia
table_4,1,1,1.000,0.990,1.000,same,Baetica defrutum amphora,Baetica defrutum amphora,Haltern 70,Haltern 70,Haltern 70,Haltern 70
table_4,3,2,1.000,0.990,0.960,same,Spanish fish sauce amphora,Spanish fish sauce amphora,Dressel 7-11,Dressel 7-11,Dressel 7-11,Dressel 7-11
table_4,4,3,1.000,0.990,1.000,same,Spanish fish sauce amphora,Spanish fish sauce amphora,Dressel 7,Dressel 7,Dressel 7,Dressel 7
table_4,5,4,1.000,0.990,0.960,same,Spanish fish sauce amphora,Spanish fish sauce amphora,Dressel 7-11,Dressel 7-11,Dressel 7-11,Dressel 7-11 (fig. 2.18)
table_4,6,5,1.000,0.990,1.000,same,Spanish fish sauce amphora,Spanish fish sauce amphora,Dressel 12,Dressel 12,Dressel 12,Dressel 12
table_4,7,7,1.000,0.990,1.000,same,Italian wine amphora,Italian wine amphora,Dressel 1B,Dressel 1B,Dressel 1B,Dressel 1B
table_4,8,8,1.000,0.920,0.990,same,Amphora,Adriatic wine amphora,Lamboglia 2/Dressel 6A,Lamboglia 2/Dressel 6A,Lamboglia2/Dressel6A,Lamboglia 2/Dressel 6A (fig. 2.17)
table_4,9,9,1.000,0.960,0.990,same,Amphora,Italian/Spanish wine amphora,Dressel 2-5,Dressel 2-5,Dressel 2-5,Dressel 2-5
table_4,10,0,1.000,0.990,1.000,same,pottery,pottery,Oberaden 83,Oberaden 83,Oberaden 83,Oberaden 83
table_4,11,10,1.000,0.990,1.000,same,Coarse ware vessel,Coarse ware vessel,Camulodunum 184,Camulodunum 184,Camulodunum 184,Camulodunum 184
table_4,12,11,1.000,0.990,1.000,same,Knidian wine amphora,Knidian wine amphora,Pompeii 38,Pompeii 38,Pompeii 38,Pompeii 38
table_4,15,6,1.000,0.990,1.000,same,Tarraconensian wine amphora,Tarraconensian wine amphora,Pascual 1,Pascual 1,Pascual 1,Pascual 1
table_4,17,12,1.000,0.960,0.990,same,pottery,pottery,Oberaden 21,Oberaden 21,Oberadenb 21b plates in Pompeian red ware,Oberaden 21 plates in Pompeian red ware
table_4,18,15,1.000,0.970,1.000,same,jug,jug,Stuart 103/Oberaden 43,Stuart 103/Oberaden 43,flagons Stuartb 103/Oberaden 43,Flagon Stuart 103/Oberaden 43
table_4,21,16,1.000,0.980,1.000,same,Smooth-walled honey pot,Smooth-walled honey pot,Stuart 146,Stuart 146,honey pots' Stuartb 146b,honey pots Stuart 146
table_4,22,14,1.000,0.970,1.000,same,pottery,pottery,Stuart 147,Stuart 147,large handmade dolia Stuart 147,dolia Stuart 147
table_4,16,13,0.990,0.970,0.990,same,Amphora,Amphora,Haltern 59,Haltern 59,mortaria with vertical rim Halternb 59,mortaria with vertical rim Haltern 59
table_4,27,17,0.890,0.580,0.870,same,Pot,Cooking pot,,,pot,small wheelthrown vessels
table_4,0,,,0.810,0.260,missing,Amphora,,,,globular,
table_4,2,,,0.870,0.230,missing,Amphora,,,,cylindrical,
table_4,13,,,0.870,0.160,missing,Amphora,,,,unknown,
table_4,14,,,0.870,0.160,missing,Amphora,,,,unknown,
table_4,19,,,0.160,0.710,missing,Smooth-walled jug,,Stuart 131/Oberaden 48-49,,Stuartb 131/Oberadenb 48-49,
table_4,20,,,0.300,0.650,missing,Flagon,,Stuart 133/Oberaden 52,,flagons Stuartb 133/Oberadenb 52,
table_4,23,,,0.800,0.910,missing,Dolium,,,,dolia with a small twisted Wulstrand,
table_4,24,,,0.170,0.800,missing,Terra sigillata,,,,terra sigillata,
table_4,25,,,0.150,0.900,missing,Beaker,,,,ࡼne ware beakers,
table_4,26,,,0.940,0.830,missing,Cooking pot,,,,cooking pots,
table_5,0,0,1.000,0.990,1.000,same,Terra nigra flask-shaped pot,Terra nigra flask-shaped pot,Holwerda 25,Holwerda 25,Holwerda 25,Holwerda 25
table_5,1,1,1.000,0.990,1.000,same,Terra nigra round-oval pot,Terra nigra round-oval pot,Holwerda 27,Holwerda 27,Holwerda 27,Holwerda 27
table_5,2,2,1.000,0.990,1.000,same,rough-walled Nijmegen pottery,rough-walled Nijmegen pottery,Holwerda 66,Holwerda 66,Holwerda 66,Holwerda 66
table_5,3,3,1.000,0.990,1.000,same,Terra nigra plate,Terra nigra plate,Holwerda 81,Holwerda 81,Holwerda 81,Holwerda 81
table_5,7,7,1.000,0.990,0.980,same,Handmade cork urn,Handmade cork urn,Holwerda 94,Holwerda 94,Holwerda 94,Holwerda 94
table_5,10,10,1.000,0.990,0.990,same,Color-coated beaker,Color-coated beaker,Niederbieber 33,Niederbieber 33,Niederbieber 33,deukbeker van het type Niederbieber 33
table_5,6,6,0.900,0.970,0.880,same,Terra nigra,Terra nigra,,,indet,indet
table_5,4,,,0.750,0.510,missing,Terra nigra pot,,,,pot,
table_5,5,,,0.960,0.790,missing,Terra nigra,,,,onbekend,
table_5,8,,,0.370,0.570,missing,Indeterminate,,,,indet,
table_5,9,,,0.640,0.400,missing,Beaker,,,,beker,
table_5,,4,,,,overclaim,,Pot,,,,pot
table_5,,5,,,,overclaim,,Unknown,,,,onbekend
table_5,,8,,,,overclaim,,Cork urn,,,,indet
table_5,,9,,,,overclaim,,White beaker,,,,wit beker
table_5,,11,,,,overclaim,,Handmade cork urn,,Holwerda 94,,kurkurn van het type Holwerda 94
ocr_1,0,0,0.990,0.940,0.990,same,Arretine ware plate,Plate,Conspectus 11,Consp. 11 (Haltern 1b/Service Ia),Pendant made of a rim fragment probably of a plate of form Consp. 11 (Haltern 1b/Service Ia),Pendant made of a rim fragment probably of a plate of form Consp. 11 (Haltern 1b/Service Ia)
ocr_2,0,0,1.000,0.990,1.000,same,22-3-6/4056,22-3-6/4056,,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont.",22-3-6/4056
ocr_2,1,1,1.000,0.990,1.000,same,513-2/20-1-67,513-2/20-1-67,,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont.",513-2/20-1-67
ocr_2,2,7,1.000,0.990,1.000,same,514-3/20-3-63,514-3/20-3-63,,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont.",514-3/20-3-63
ocr_2,3,3,1.000,0.990,1.000,same,711-1/13-1-27,711-1/13-1-27,,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont.",711-1/13-1-27
ocr_2,4,5,1.000,0.990,1.000,same,757-10/109-2-5,757-10/109-2-5,,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont.",757-10/109-2-5
ocr_2,5,6,1.000,0.990,1.000,same,768-1/15-2-19,768-1/15-2-19,,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont.",768-1/15-2-19
ocr_2,6,2,1.000,0.990,0.990,same,768-2/15-2-19,768-2/15-2-19,,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont.",768-2/15-2-19
ocr_2,7,4,1.000,0.990,1.000,same,791-1/95-2-22,791-1/95-2-22,,,"Fig. XVI.2. Voerendaal-Ten Hove. Examples of Late Roman vessels, cont.",791-1/95-2-22
ocr_3,0,,,0.050,1.000,missing,Roman ware,,,,"fragmenten gevonden van Romeinse!) aardewerk, waarschynlyk uit de 2c eeuw na Christus.",
ocr_4,0,0,1.000,0.990,1.000,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 18/31,Dragendorff 18/31,"Een terra-sigillata schaaltje in fragment type Drag 18/ 31, met de
pottenbakkersstempel: COSI. RVTIN.","Een terra sigillata schaaltje in fragment type Drag. 18/31, met de pottenbakkersstempel: COSI. RVTIN."
ocr_4,1,1,1.000,0.950,0.960,same,Terra sigillata,Terra sigillata,,,Een terra-sigillata bodemfragment waarop aan de buitenzijde ingekrast:,Een terra sigillata bodemfragment waarop aan de buitenzijde inge-krast: KOVIN.
ocr_4,2,2,1.000,0.990,1.000,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 32,Dragendorff 32,Een terra-sigillata schaal in fragment type Drag 32.,Een terra sigillata schaal in fragment type Drag. 32
ocr_4,3,3,1.000,0.990,1.000,same,Terra sigillata mortarium,Terra sigillata mortarium,Dragendorff 45,Dragendorff 45,Een terra-sigillata kom in fragment type Drag 45.,Een terra sigillata kom in fragment type Drag. 45
ocr_4,4,4,1.000,0.980,1.000,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 29,Dragendorff 29,"Drie versierde terra-sigillata fragmenten Drag 29 en 37, met eierlijst, planten en dieren","Drie versierde terra sigillata fragmenten Drag. 29 en 37, met eier-lijst, planten en dieren."
ocr_4,5,5,1.000,0.990,1.000,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"Drie versierde terra-sigillata fragmenten Drag 29 en 37, met eierlijst, planten en dieren","Drie versierde terra sigillata fragmenten Drag. 29 en 37, met eier-lijst, planten en dieren."
ocr_4,6,6,1.000,0.980,1.000,same,Beaker,Beaker,,,"Een geverniste beker met schubbenversiering in fragment met een
diameter van 15 cm.",Een geverniste beker met schubbenversiering in fragment met een diameter van 15 cm.
ocr_4,7,8,1.000,0.980,1.000,same,Terra sigillata,Terra sigillata,,,Verder nog een dertigtal aardewerkfragmenten waaronder terrasigillata en inheems aardewerk.,Verder nog een dertigtal aardewerkfragmenten waaronder terra sigillata en inheems aardewerk.
ocr_4,8,7,0.980,0.900,0.980,same,Native ware,Native Roman ware,,,Verder nog een dertigtal aardewerkfragmenten waaronder terrasigillata en inheems aardewerk.,Verder nog een dertigtal aardewerkfragmenten waaronder terra sigillata en inheems aardewerk.
ocr_5,0,0,1.000,0.850,0.990,same,Beaker,Drink beaker,,,"Deze vroeg-Romeinse drinkbeker van aardewerk is in Coriovallum gevonden, maar gemaakt in het Franse Lyon.","Deze vroeg-Romeinse drinkbeker van aardewerk is in Coriovallum gevonden, maar gemaakt in het Franse Lyon."
ocr_5,1,,,0.720,0.780,missing,Beaker,,,,Bijzonder is de vroege datering van dit type bekers: ze werden voornamelijk tijdens het bewind van keizer Augustus gemaa,
ocr_5,,1,,,,overclaim,,ACO beaker,,,,Deze zijn van een ACO-beker en schuin tegen-over het badhuis gevonden.
new_rep_1,6,6,0.860,0.570,0.830,different,Baetican olive oil amphora,Baetican olive oil amphora,Dressel 20,Dressel 20,een oor van een olijfolieamfoor Dressel 20,oor van een olijfolieamfoor Dressel 20
new_rep_1,8,8,0.830,0.530,0.800,different,Dolium,Dolium,,,"een wandfragment van een dolium versierd met gladde ribbels,",wandfragment van een dolium versierd met gladde ribbels
new_rep_1,0,,,0.470,0.670,missing,Beaker,,,,een stuk van een geverfde beker bestrooid met kleikorreltjes. Deze beker heeft een wit baksel met een zwarte verflaag… H,
new_rep_1,1,,,0.250,0.510,missing,Gallic wine amphora,,Gauloise 4,,Een tweede herkenbaar fragment is afkomstig van een wijnamfoor Gauloise 4.,
new_rep_1,2,,,0.400,0.640,missing,Red coarse ware,,,,Twee rode ruwwandige fragmenten… kunnen niet nader geduid worden,
new_rep_1,3,,,0.330,0.580,missing,White smooth-walled ware,,,,en een sterk verweerd wit gladwandig fragment kunnen niet nader geduid worden.,
new_rep_1,4,,,0.450,0.480,missing,Dolium,,,,In de sporen S5 en S6 die vlak bij elkaar liggen zijn respectievelijk een rand van een groot bolrond voorraadvat (dolium,
new_rep_1,5,,,0.460,0.530,missing,Olive oil amphora,,,,In de sporen S5 en S6 die vlak bij elkaar liggen zijn respectievelijk een rand van een groot bolrond voorraadvat (dolium,
new_rep_1,7,,,0.420,0.550,missing,Mortarium,,Brunsting 37,,en de rand van een wrijfschaal met verticale rand die vanaf 160 is te dateren,
new_rep_1,9,,,0.480,0.490,missing,Mortarium,,,,een rand van een wrijfschaal met horizontale rand uit de 2e eeuw of later,
new_rep_1,10,,,0.100,0.980,missing,Pottery,,,,en een verploegd en niet herkenbaar fragment aardewerk.,
