report,gold_id,p_quote_supports_name,flag,pottery,typology,quote
table_1,17,0.180,FLAG,Late Roman cooking pot,Alzey 27,jar
table_1,18,0.150,FLAG,Jar,,jug
table_1,19,0.090,FLAG,Jar,,plate
table_1,20,0.070,FLAG,Late Roman storage vessel,Alzey 29,plate
table_1,21,0.930,,Coarse ware bowl,Niederbieber 104 cf.,bowl
table_1,22,0.980,,Jar,,jar
table_1,23,0.940,,Late Roman storage jar,Alzey 30,jar
table_1,24,0.970,,Jar,,jar
table_1,25,0.060,FLAG,Jug,,plate
table_1,26,0.960,,Late Roman bowl,Alzey 28 cf.,bowl
table_1,27,0.990,,Cheese strainer,FG1a,cheese strainer
table_1,28,0.100,FLAG,Jug,,jar
table_1,29,0.130,FLAG,Late Roman cooking pot,Alzey 27,jar
table_1,30,0.210,FLAG,Coarse ware cooking pot,Niederbieber 89,jar
table_1,31,0.160,FLAG,Late Roman storage jar,Alzey 30,jug
table_1,32,0.090,FLAG,Late Roman storage vessel,Alzey 29,plate
table_1,33,0.960,,Trier bowl,"Trier III, 40a",bowl
table_1,34,0.050,FLAG,Plate,,jar
table_1,35,0.210,FLAG,Late Roman storage vessel,Alzey 29,bowl
table_1,36,0.050,FLAG,Plate,,jar
table_1,37,0.050,FLAG,Plate,,jar
table_1,38,0.080,FLAG,Late Roman dish,Alzey 33 cf,jar
table_1,39,0.070,FLAG,Late Roman cooking pot,Alzey 27,jar
table_2,1,0.900,,Pottery,,"Romeinse tijd: aardewerk.
"
table_2,2,0.910,,Pottery,,"Rond het gebouw werden enkele paalgaten en kuilen teruggevonden, met in de kuilen aardewerk en bouwmateriaal."
table_2,3,0.840,,Pottery,,"Romeinse tijd: vermoedelijk een Romeinse villa, concentratie bouwpuin,aardewerk."
table_2,4,0.820,,Pottery,,"Romeinse tijd: vermoedelijk een Romeinse villa, concentratie bouwpuin, aardewerk"
table_2,5,0.830,,Pottery,,"Romeinse tijd: vermoedelijk Romeinse villa, concentratie dakpanfragmenten,
aardewerk."
table_2,6,0.850,,Pottery,,"Romeinse tijd: vermoedelijk een Romeinse villa, concentratie bouwpuin, aardewerk"
table_2,7,0.980,,Terra sigillata,,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)"
table_2,8,0.960,,Dolium,,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)"
table_2,9,0.930,,Cooking pot,,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)"
table_2,10,0.480,FLAG,Flagon ware,,"Romeinse tijd: aardewerk (terra sigillata, dolia, kookpotten, kruikwaar)"
table_2,11,0.930,,Pottery,,"Romeinse tijd: aardewerk, bouwmateriaal.
"
table_2,12,0.310,FLAG,Pottery,,"Late ijzertijd: kuil met brokken verbrande leem, houtskoolfragmenten en organische resten, 250-tal scherven uit bewoning"
table_2,13,0.930,,Handmade ware pot,,een aantal bodem- en wandscherven van een pot in handgemaakt aardewerk
table_3,1,0.990,,Arretina,,Arretina
table_3,2,0.980,,Fine ware,,Fine ware
table_3,3,0.990,,Gallo-Belgic ware,,Gallo-Belgic ware
table_3,4,0.980,,Pompeian red ware,,Pompeian red ware
table_3,5,0.980,,Smooth ware,,Smooth ware
table_3,6,0.950,,Amphora,,Amphorae
table_3,7,0.910,,Dolium,,Dolia
table_3,8,0.960,,Mortarium,,Mortaria
table_3,9,0.980,,Coarse ware,,Coarse ware
table_3,10,0.980,,Cork ware,,Cork ware
table_3,11,0.980,,Handmade pottery,,Handmade pottery
table_4,1,0.740,,Amphora,,globular
table_4,2,0.930,,Baetica defrutum amphora,Haltern 70,Haltern 70
table_4,3,0.640,,Amphora,,cylindrical
table_4,4,0.910,,Spanish fish sauce amphora,Dressel 7-11,Dressel 7-11
table_4,5,0.950,,Spanish fish sauce amphora,Dressel 7,Dressel 7
table_4,6,0.940,,Spanish fish sauce amphora,Dressel 7-11,Dressel 7-11
table_4,7,0.880,,Spanish fish sauce amphora,Dressel 12,Dressel 12
table_4,8,0.880,,Italian wine amphora,Dressel 1B,Dressel 1B
table_4,9,0.920,,Amphora,Lamboglia 2/Dressel 6A,Lamboglia2/Dressel6A
table_4,10,0.920,,Amphora,Dressel 2-5,Dressel 2-5
table_4,11,0.650,,pottery,Oberaden 83,Oberaden 83
table_4,12,0.580,,Coarse ware vessel,Camulodunum 184,Camulodunum 184
table_4,13,0.750,,Knidian wine amphora,Pompeii 38,Pompeii 38
table_4,14,0.070,FLAG,Amphora,,unknown
table_4,15,0.080,FLAG,Amphora,,unknown
table_4,16,0.840,,Tarraconensian wine amphora,Pascual 1,Pascual 1
table_4,17,0.170,FLAG,Amphora,Haltern 59,mortaria with vertical rim Halternb 59
table_4,18,0.630,,pottery,Oberaden 21,Oberadenb 21b plates in Pompeian red ware
table_4,19,0.770,,jug,Stuart 103/Oberaden 43,flagons Stuartb 103/Oberaden 43
table_4,20,0.420,FLAG,Smooth-walled jug,Stuart 131/Oberaden 48-49,Stuartb 131/Oberadenb 48-49
table_4,21,0.910,,Flagon,Stuart 133/Oberaden 52,flagons Stuartb 133/Oberadenb 52
table_4,22,0.970,,Smooth-walled honey pot,Stuart 146,honey pots' Stuartb 146b
table_4,23,0.570,,pottery,Stuart 147,large handmade dolia Stuart 147
table_4,24,0.960,,Dolium,,dolia with a small twisted Wulstrand
table_4,25,0.980,,Terra sigillata,,terra sigillata
table_4,26,0.920,,Beaker,,ࡼne ware beakers
table_4,27,0.980,,Cooking pot,,cooking pots
table_4,28,0.980,,Pot,,pot
table_5,1,0.890,,Terra nigra flask-shaped pot,Holwerda 25,Holwerda 25
table_5,2,0.900,,Terra nigra round-oval pot,Holwerda 27,Holwerda 27
table_5,3,0.750,,rough-walled Nijmegen pottery,Holwerda 66,Holwerda 66
table_5,4,0.800,,Terra nigra plate,Holwerda 81,Holwerda 81
table_5,5,0.870,,Terra nigra pot,,pot
table_5,6,0.060,FLAG,Terra nigra,,onbekend
table_5,7,0.080,FLAG,Terra nigra,,indet
table_5,8,0.820,,Handmade cork urn,Holwerda 94,Holwerda 94
table_5,9,0.380,FLAG,Indeterminate,,indet
table_5,10,0.980,,Beaker,,beker
table_5,11,0.780,,Color-coated beaker,Niederbieber 33,Niederbieber 33
